FRB,z,Repeater,Offset,Offset_err,Reff,Reff_err,Mass,Mass_poserr,Mass_negerr,SFR,SFR_poserr,SFR_negerr,log_sSFR,Mr,Mr_err,u-r,u-r_err,Metallicity
121102,0.1927,y,0.8,0.1,0.66,0.03,0.01,0.01,0.01,0.15,0.04,0.04,-8.99,-16.2,0.08,1.49,0.18,8.08
180301,0.3304,y,10.8,3,5.8,0.2,0.23,0.06,0.06,1.93,0.58,0.58,-9.08,-20.18,0.07,0.9,0.11,8.7
180916,0.0337,y,5.4,0,3.57,0.36,0.22,0.03,0.03,0.06,0.02,0.02,-10.58,-19.46,0.05,1.53,0.06,nan
180924,0.3212,n,3.4,0.8,2.75,0.1,1.32,0.51,0.51,0.88,0.26,0.26,-10.18,-20.81,0.05,1.78,0.15,8.93
190102,0.2912,n,2.3,4.2,4.43,0.51,0.47,0.54,0.54,0.86,0.26,0.26,-9.74,-19.87,0.06,1.44,0.15,8.7
190608,0.1178,n,6.5,0.8,2.84,0.23,1.16,0.28,0.28,0.69,0.21,0.21,-10.22,-21.22,0.05,1.4,0.09,8.85
190611,0.3778,n,11.7,5.8,2.15,0.11,0.35,0.7,0.7,0.27,0.08,0.08,-10.11,-19.29,0.1,1.29,0.18,8.71
190711,0.522,y,1.6,4.5,2.94,0.17,0.08,0.03,0.03,0.42,0.12,0.12,-9.29,-19.01,0.08,0.95,0.16,nan
190714,0.2365,n,2.7,1.8,3.94,0.05,1.42,0.55,0.55,0.65,0.2,0.2,-10.34,-20.37,0.05,1.51,0.28,9.03
191001,0.234,n,11.1,0.8,5.55,0.03,4.64,1.88,1.88,8.06,2.42,2.42,-9.76,-22.13,0.05,1.67,0.19,8.94
191228,0.2432,n,5.7,3.3,1.78,0.06,0.54,0.6,0.6,0.03,0.01,0.01,-11.28,-18.26,0.05,2.13,0.74,8.48
200430,0.1608,n,1.7,2.2,1.64,0.53,0.21,0.11,0.11,0.26,0.08,0.08,-9.89,-18.25,0.05,2.08,0.3,8.88
200906,0.3688,n,5.9,2,7.58,0.06,1.33,0.37,0.37,0.48,0.14,0.14,-10.44,-21.49,0.05,1.22,0.11,8.76
171020,0.0087,n,nan,nan,nan,nan,0.09,nan,nan,0.13,nan,nan,-9.84,-17.9,nan,nan,nan,8.3
200120,0.0008,y,20.1,3,3.5,nan,7.2,1.7,1.7,0.89,0.27,0.27,-10.91,-19.78,nan,2.77,0,nan
201124,0.098,y,1.3,0.1,nan,nan,1.7,0.08,0.11,2.12,0.69,0.28,-9.9,-20.41,0.03,2.06,0.55,9.03
