FRB_host,z_host,Mr,Mr_err,Mu-Mr,Mu-Mr_err,M_star,M_star_err,SFR,SFR_err,Age,Metallicity,Metallicity_upp_err,Metallicity_low_err,Offset,Offset_err,R_eff,R_eff_err
121102,0.1927,-16.20,0.08,1.49,0.18,0.14,0.07,0.15,0.04,0.26,8.08,nan,nan,0.6,0.3,0.7,0.1
180916,0.0337,-19.46,0.05,1.53,0.06,2.15,0.33,0.06,0.02,0.15,nan,nan,nan,5.5,0.1,3.6,0.4
180924,0.3212,-20.81,0.05,1.78,0.15,13.2,5.1,0.88,0.26,0.38,8.93,0.02,0.02,3.4,0.5,2.7,0.1
181112,0.4755,-20.40,0.07,1.12,0.15,3.98,2.02,0.37,0.11,0.57,8.86,0.1,0.13,1.7,19.2,7.2,1.7
190102,0.2912,-19.85,0.06,1.40,0.12,3.39,1.02,0.86,0.26,0.06,8.7,0.07,0.08,2.0,2.2,4.4,0.5
190523,0.6600,-22.06,0.12,1.92,0.19,61.2,40.1,0.09,nan,0.69,nan,nan,nan,27,23,3.3,0.2
190608,0.1178,-21.22,0.05,1.40,0.09,11.6,2.8,0.69,0.21,0.38,8.85,0.02,0.02,6.6,0.6,2.8,0.2
190611,0.3778,nan,nan,nan,nan,0.8,nan,0.27,0.08,nan,8.71,0.17,0.28,11,4,2.1,0.1
190711,0.5220,-19.01,0.08,0.95,0.16,0.81,0.29,0.42,0.12,0.61,nan,nan,nan,3.2,2.1,2.9,0.2
190714,0.2365,-19.92,0.05,1.19,0.17,14.9,7.1,0.65,0.65,1.59,9.03,0.04,0.04,1.9,1.1,3.9,0.1
191001,0.2340,-22.13,0.05,1.67,0.19,46.4,18.8,8.06,2.42,0.64,8.94,0.05,0.05,11,1,5.5,0.1
200430,0.1600,-18.05,0.05,1.78,1.31,1.30,0.60,0.2,nan,0.69,nan,nan,nan,3.0,2.4,1.6,0.5
